book,name,team,opponent,game_date,prop_type,line,odds_over,odds_under,mkt_p_over,mkt_p_under,model_p_over,pick_side,pick_edge_bp,pick_prob,pick_odds,bet_flag,kelly_frac,pred_mean,resid_sd_used
caesars,Ivica Zubac,LAC,PHX,2025-11-06,ast,2.5,-125.0,-108.0,0.5168986083499005,0.48310139165009935,0.3745552123121255,Under,14.234339603777514,0.6254447876878745,-108.0,True,0.02,1.766511109772603,2.293496186447802
hardrock,Ivica Zubac,LAC,PHX,2025-11-06,ast,2.5,-135.0,-105.0,0.5286532951289399,0.4713467048710602,0.3745552123121255,Under,15.40980828168143,0.6254447876878745,-105.0,True,0.02,1.766511109772603,2.293496186447802
draftkings,Jalen Green,PHX,LAC,2025-11-06,ast,2.5,-133.0,103.0,0.5367701147140101,0.46322988528598974,0.4265803127039989,Under,11.018980201001138,0.5734196872960011,103.0,True,0.02,2.075503166832239,2.293496186447802
fanduel,Jalen Green,PHX,LAC,2025-11-06,ast,2.5,-122.0,-108.0,0.5141838223374939,0.48581617766250607,0.4265803127039989,Under,8.760350963349506,0.5734196872960011,-108.0,True,0.02,2.075503166832239,2.293496186447802
caesars,Jalen Green,PHX,LAC,2025-11-06,ast,2.5,-129.0,-105.0,0.523767082590612,0.47623291740938806,0.4265803127039989,Under,9.718676988661306,0.5734196872960011,-105.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Jalen Green,PHX,LAC,2025-11-06,ast,2.5,-145.0,105.0,0.5481788842784694,0.45182111572153066,0.4265803127039989,Under,12.159857157447046,0.5734196872960011,105.0,True,0.02,2.075503166832239,2.293496186447802
draftkings,Royce O'Neale,PHX,LAC,2025-11-06,ast,2.5,-139.0,107.0,0.5462570956657111,0.45374290433428893,0.4265803127039989,Under,11.967678296171218,0.5734196872960011,107.0,True,0.02,2.075503166832239,2.293496186447802
fanduel,Royce O'Neale,PHX,LAC,2025-11-06,ast,2.5,-136.0,102.0,0.5379072681704261,0.46209273182957394,0.4265803127039989,Under,11.132695546642719,0.5734196872960011,102.0,True,0.02,2.075503166832239,2.293496186447802
caesars,Royce O'Neale,PHX,LAC,2025-11-06,ast,2.5,-137.0,100.0,0.5362035225048923,0.4637964774951076,0.4265803127039989,Under,10.962320980089352,0.5734196872960011,100.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Royce O'Neale,PHX,LAC,2025-11-06,ast,2.5,-135.0,-105.0,0.5286532951289399,0.4713467048710602,0.4265803127039989,Under,10.207298242494096,0.5734196872960011,-105.0,True,0.02,2.075503166832239,2.293496186447802
hardrock,Bradley Beal,LAC,PHX,2025-11-06,pra,19.5,-115.0,-115.0,0.5,0.5,0.3093550235402276,Under,19.06449764597724,0.6906449764597724,-115.0,True,0.02,13.546462503410082,11.962596378109543
draftkings,Devin Booker,PHX,LAC,2025-11-06,pra,39.5,-121.0,-107.0,0.5143754877397627,0.4856245122602374,0.018389418752424558,Under,49.59860689873381,0.9816105812475755,-107.0,True,0.02,14.519578902651682,11.962596378109543
fanduel,Devin Booker,PHX,LAC,2025-11-06,pra,39.5,-120.0,-110.0,0.5101214574898786,0.48987854251012153,0.018389418752424558,Under,49.17320387374539,0.9816105812475755,-110.0,True,0.02,14.519578902651682,11.962596378109543
caesars,Devin Booker,PHX,LAC,2025-11-06,pra,39.5,-117.0,-115.0,0.5019956096587508,0.49800439034124927,0.018389418752424558,Under,48.360619090632625,0.9816105812475755,-115.0,True,0.02,14.519578902651682,11.962596378109543
hardrock,Devin Booker,PHX,LAC,2025-11-06,pra,39.5,-115.0,-115.0,0.5,0.5,0.018389418752424558,Under,48.16105812475755,0.9816105812475755,-115.0,True,0.02,14.519578902651682,11.962596378109543
draftkings,Grayson Allen,PHX,LAC,2025-11-06,pra,22.5,-110.0,-118.0,0.49179655455291227,0.5082034454470877,0.2523495102288248,Under,23.94470443240875,0.7476504897711752,-118.0,True,0.02,14.519578902651682,11.962596378109543
fanduel,Grayson Allen,PHX,LAC,2025-11-06,pra,22.5,-114.0,-114.0,0.5,0.5,0.2523495102288248,Under,24.76504897711752,0.7476504897711752,-114.0,True,0.02,14.519578902651682,11.962596378109543
caesars,Grayson Allen,PHX,LAC,2025-11-06,pra,22.5,-121.0,-112.0,0.5089278628680263,0.49107213713197356,0.2523495102288248,Under,25.657835263920166,0.7476504897711752,-112.0,True,0.02,14.519578902651682,11.962596378109543
hardrock,Grayson Allen,PHX,LAC,2025-11-06,pra,23.5,-115.0,-115.0,0.5,0.5,0.22641409561367892,Under,27.358590438632113,0.7735859043863211,-115.0,True,0.02,14.519578902651682,11.962596378109543
