Player,Team,Opponent,Market,Line,OverOdds_American,UnderOdds_American,POverImp,PUnderImp,POverFair,PUnderFair,ProjMins,ProjMean,ProjSD,POverModel,PUnderModel,OverDecimal,UnderDecimal
Pascal Siakam,IND,@TOR,REB,6.5,115,-155,0.4651162790697674,0.6078431372549019,0.4334891627709307,0.5665108372290693,36.2,6.295237475633622,3.33064817509694,0.4754891554732094,0.5245108445267905,2.15,1.6451612903225805
Payton Pritchard,BOS,DET,AST,4.5,-106,-125,0.5145631067961165,0.5555555555555556,0.4808467741935484,0.5191532258064516,32.8,6.375103402137756,2.2898968254817103,0.7935666646809958,0.2064333353190042,1.9433962264150944,1.8
Payton Pritchard,BOS,DET,PTS,16.5,-125,-105,0.5555555555555556,0.5121951219512195,0.5203045685279188,0.4796954314720812,32.8,20.83664093017578,6.7135655394324765,0.7408447715651634,0.2591552284348366,1.8,1.9523809523809523
Payton Pritchard,BOS,DET,REB,4.5,134,-180,0.4273504273504273,0.6428571428571429,0.3993154592127781,0.600684540787222,32.8,4.5918182015419005,3.0025025858619654,0.5121979759276982,0.4878020240723018,2.34,1.5555555555555556
Pelle Larsson,MIA,MIL,AST,3.5,126,-170,0.4424778761061947,0.6296296296296297,0.4127178232956283,0.5872821767043718,27.2,3.400105381011963,1.8502289189808472,0.4784714021771556,0.5215285978228443,2.26,1.5882352941176472
Pelle Larsson,MIA,MIL,PTS,8.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,27.2,9.98657021522522,5.33645568206957,0.6097121318763294,0.3902878681236705,1.9523809523809523,1.8
Pelle Larsson,MIA,MIL,REB,2.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,27.2,3.5437664508819577,2.5022361807515425,0.661709606184276,0.338290393815724,1.8695652173913042,1.8695652173913042
Precious Achiuwa,SAC,PHX,AST,0.5,-200,145,0.6666666666666666,0.4081632653061224,0.6202531645569621,0.379746835443038,19.8,1.208925012499094,1.316709710685305,0.704851765813691,0.295148234186309,1.5,2.45
Precious Achiuwa,SAC,PHX,PTS,7.5,-110,-125,0.5238095238095238,0.5555555555555556,0.4852941176470587,0.5147058823529411,19.8,6.272471201419831,3.949755372223808,0.3779816446254634,0.6220183553745365,1.9090909090909092,1.8
Precious Achiuwa,SAC,PHX,REB,5.5,-158,118,0.6124031007751938,0.4587155963302752,0.571741584224155,0.4282584157758449,19.8,4.781060743331909,2.046376231078033,0.3626729805823169,0.6373270194176831,1.6329113924050633,2.1799999999999997
Quinten Post,GSW,HOU,AST,1.5,135,-185,0.425531914893617,0.6491228070175439,0.3959708232025009,0.6040291767974991,14.4,1.1208741188049316,0.9945383198512222,0.3515244875149834,0.6484755124850166,2.35,1.5405405405405406
Quinten Post,GSW,HOU,PTS,7.5,-110,-120,0.5238095238095238,0.5454545454545454,0.4898785425101215,0.5101214574898786,14.4,6.332286930084229,3.27510124375905,0.3607171324821182,0.6392828675178818,1.9090909090909092,1.8333333333333335
Quinten Post,GSW,HOU,REB,4.5,110,-145,0.4761904761904761,0.5918367346938775,0.4458598726114649,0.554140127388535,14.4,3.081840991973877,1.574455655348558,0.1838660202948694,0.8161339797051306,2.1,1.6896551724137931
Reed Sheppard,HOU,@GSW,AST,3.5,-140,105,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,29.200000000000003,4.0737295866012575,1.9927256266621352,0.6132929429609106,0.3867070570390893,1.7142857142857144,2.05
Reed Sheppard,HOU,@GSW,PTS,14.5,-115,-115,0.5348837209302325,0.5348837209302325,0.5,0.5,29.200000000000003,13.57495517730713,5.821656461695941,0.4368749393567261,0.5631250606432738,1.8695652173913042,1.8695652173913042
Reed Sheppard,HOU,@GSW,REB,3.5,128,-167,0.4385964912280701,0.6254681647940075,0.4121896998888477,0.5878103001111522,29.200000000000003,2.640886655449868,2.6485863385078683,0.3728301945880063,0.6271698054119936,2.2800000000000002,1.5988023952095807
Royce O'Neale,PHX,@SAC,AST,2.5,-135,100,0.574468085106383,0.5,0.5346534653465347,0.4653465346534653,31.32,2.063040759265423,2.061560123355489,0.4160708314015654,0.5839291685984346,1.7407407407407407,2.0
Royce O'Neale,PHX,@SAC,PTS,11.5,100,-135,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,31.32,10.034857048988345,6.034586080098498,0.4040836692560711,0.5959163307439289,2.0,1.7407407407407407
Royce O'Neale,PHX,@SAC,REB,4.5,-148,112,0.5967741935483871,0.4716981132075472,0.5585303332383936,0.4414696667616063,31.32,4.2880620038509365,2.8697143480827885,0.4705635409156687,0.5294364590843312,1.6756756756756757,2.12
Rudy Gobert,MIN,@OKC,AST,1.5,125,-165,0.4444444444444444,0.6226415094339622,0.4165029469548134,0.5834970530451867,33.56,1.827688735127449,2.200939520157814,0.5591781436952039,0.4408218563047961,2.25,1.606060606060606
Rudy Gobert,MIN,@OKC,PTS,9.5,102,-135,0.495049504950495,0.574468085106383,0.4628717746700807,0.5371282253299192,33.56,9.810237634181975,6.421814419925134,0.5192653938147094,0.4807346061852906,2.02,1.7407407407407407
Rudy Gobert,MIN,@OKC,REB,9.5,-125,-106,0.5555555555555556,0.5145631067961165,0.5191532258064516,0.4808467741935484,33.56,10.09526592373848,3.266790231454568,0.5722939289787692,0.4277060710212308,1.8,1.9433962264150944
Russell Westbrook,SAC,PHX,AST,6.5,-128,-105,0.5614035087719298,0.5121951219512195,0.5229174970107613,0.4770825029892387,29.4,7.476250845193863,2.19503649580243,0.6717511612119936,0.3282488387880063,1.78125,1.9523809523809523
Russell Westbrook,SAC,PHX,PTS,12.5,-125,-106,0.5555555555555556,0.5145631067961165,0.5191532258064516,0.4808467741935484,29.4,13.685883039236067,5.857914156536341,0.5802140800988856,0.4197859199011143,1.8,1.9433962264150944
Russell Westbrook,SAC,PHX,REB,6.5,-128,-104,0.5614035087719298,0.5098039215686274,0.5240847784200385,0.4759152215799614,29.4,6.554842928051948,2.800360529590816,0.5078124812974908,0.4921875187025092,1.78125,1.9615384615384617
Ryan Kalkbrenner,CHA,NYK,PTS,7.5,-104,-128,0.5098039215686274,0.5614035087719298,0.4759152215799614,0.5240847784200385,25.0,7.021687179803848,4.841500439185963,0.4606507829322215,0.5393492170677785,1.9615384615384617,1.78125
Ryan Kalkbrenner,CHA,NYK,REB,6.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,25.0,7.231022417545319,2.5518867416392284,0.6127384288081115,0.3872615711918885,1.9803921568627452,1.7692307692307692
Ryan Rollins,MIL,@MIA,AST,6.5,-114,-114,0.5327102803738317,0.5327102803738317,0.5,0.5,32.92,5.2669443076848985,2.2499634879248007,0.2918344003628024,0.7081655996371976,1.8771929824561404,1.8771929824561404
