game_date,book,player,team,opponent,market,line,lineup_status,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-04,betrivers,Nikola Vucevic,CHI,PHI,AST,,EXPECTED,-107,,0.5169082125603864,,,,,,,0.0,30.8,2.6168649196624756,0.0,0.9
2025-11-04,betrivers,Nikola Vucevic,CHI,PHI,REB,,EXPECTED,-110,,0.5238095238095238,,,,,,,0.0,30.8,1.6113944053649902,0.0,0.9
2025-11-04,mgm,Ochai Agbaji,TOR,MIL,AST,,EXPECTED,-118,-110.0,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,,,,0.0,26.8,1.6819777488708496,0.0,0.9
2025-11-04,mgm,Ochai Agbaji,TOR,MIL,REB,,EXPECTED,-118,-110.0,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,,,,0.0,26.8,4.1327643394470215,0.0,0.9
2025-11-04,mgm,Onyeka Okongwu,ATL,ORL,AST,,EXPECTED,-118,-110.0,0.5412844036697247,0.5238095238095238,0.5082034454470877,0.49179655455291227,,,,0.0,35.4,2.2401866912841797,0.0,0.9
2025-11-04,betrivers,Onyeka Okongwu,ATL,ORL,REB,,EXPECTED,-117,,0.5391705069124424,,,,,,,0.0,35.4,10.164597511291504,0.0,0.9
2025-11-04,mgm,Oso Ighodaro,PHX,@GSW,AST,,EXPECTED,-105,-130.0,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,,,,0.0,26.6,1.3455288410186768,0.0,0.9
2025-11-04,fanduel,Oso Ighodaro,PHX,@GSW,REB,,EXPECTED,-112,-118.0,0.5283018867924528,0.5412844036697247,0.4939310568053083,0.5060689431946916,,,,0.0,26.6,4.062191009521484,0.0,0.9
2025-11-04,betrivers,Paolo Banchero,ORL,@ATL,AST,,EXPECTED,-122,,0.5495495495495496,,,,,,,0.0,34.8,4.82487154006958,0.0,0.9
2025-11-04,betrivers,Paolo Banchero,ORL,@ATL,REB,,EXPECTED,-120,,0.5454545454545454,,,,,,,0.0,34.8,7.408442974090576,0.0,0.9
2025-11-04,mgm,Patrick Williams,CHI,PHI,AST,,EXPECTED,-105,-125.0,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,,,,0.0,20.8,1.6156712770462036,0.0,0.9
2025-11-04,caesars,Patrick Williams,CHI,PHI,REB,,EXPECTED,-109,-124.0,0.5215311004784688,0.5535714285714286,0.48509894301835804,0.5149010569816419,,,,0.0,20.8,3.060150384902954,0.0,0.9
2025-11-04,betrivers,Quentin Grimes,PHI,@CHI,AST,,EXPECTED,-124,,0.5535714285714286,,,,,,,0.0,35.6,4.4282097816467285,0.0,0.9
2025-11-04,betrivers,Quentin Grimes,PHI,@CHI,REB,,EXPECTED,-108,,0.5192307692307693,,,,,,,0.0,35.6,5.392953395843506,0.0,0.9
2025-11-04,mgm,Quinten Post,GSW,PHX,AST,,EXPECTED,-118,-115.0,0.5412844036697247,0.5348837209302325,0.5029738302934179,0.4970261697065821,,,,0.0,14.2,1.0095716714859009,0.0,0.9
2025-11-04,caesars,Quinten Post,GSW,PHX,REB,,EXPECTED,-114,-118.0,0.5327102803738317,0.5412844036697247,0.496008302730321,0.5039916972696792,,,,0.0,14.2,2.4341933727264404,0.0,0.9
2025-11-04,betrivers,RJ Barrett,TOR,MIL,AST,,EXPECTED,-129,,0.5633187772925764,,,,,,,0.0,28.4,5.1763434410095215,0.0,0.9
2025-11-04,betrivers,RJ Barrett,TOR,MIL,REB,,EXPECTED,-114,,0.5327102803738317,,,,,,,0.0,28.4,5.843619346618652,0.0,0.9
2025-11-04,caesars,Royce O'Neale,PHX,@GSW,AST,,EXPECTED,-124,-109.0,0.5535714285714286,0.5215311004784688,0.5149010569816419,0.48509894301835804,,,,0.0,21.6,1.9242876768112183,0.0,0.9
2025-11-04,caesars,Royce O'Neale,PHX,@GSW,REB,,EXPECTED,-115,-117.0,0.5348837209302325,0.5391705069124424,0.49800439034124927,0.5019956096587508,,,,0.0,21.6,3.0682291984558105,0.0,0.9
2025-11-04,caesars,Ryan Dunn,PHX,@GSW,AST,,EXPECTED,-125,-108.0,0.5555555555555556,0.5192307692307693,0.5168986083499005,0.48310139165009935,,,,0.0,29.0,1.2191529273986816,0.0,0.9
2025-11-04,caesars,Ryan Dunn,PHX,@GSW,REB,,EXPECTED,-105,-130.0,0.5121951219512195,0.5652173913043478,0.4753937007874017,0.5246062992125985,,,,0.0,29.0,5.273334980010986,0.0,0.9
2025-11-04,betrivers,Ryan Rollins,MIL,@TOR,AST,,EXPECTED,-107,,0.5169082125603864,,,,,,,0.0,22.6,3.4086875915527344,0.0,0.9
2025-11-04,betrivers,Ryan Rollins,MIL,@TOR,REB,,EXPECTED,-114,,0.5327102803738317,,,,,,,0.0,22.6,2.8030617237091064,0.0,0.9
2025-11-04,mgm,Saddiq Bey,NOP,CHA,AST,,EXPECTED,100,-130.0,0.5,0.5652173913043478,0.4693877551020409,0.5306122448979592,,,,0.0,35.8,1.6288549900054932,0.0,0.9
2025-11-04,fanduel,Saddiq Bey,NOP,CHA,REB,,EXPECTED,-102,-128.0,0.504950495049505,0.5614035087719298,0.4735298908617039,0.5264701091382962,,,,0.0,35.8,6.094303131103516,0.0,0.9
2025-11-04,mgm,Sandro Mamukelashvili,TOR,MIL,AST,,EXPECTED,-130,-105.0,0.5652173913043478,0.5121951219512195,0.5246062992125985,0.4753937007874017,,,,0.0,19.2,1.2252397537231445,0.0,0.9
2025-11-04,draftkings,Sandro Mamukelashvili,TOR,MIL,REB,,EXPECTED,-129,-101.0,0.5633187772925764,0.5024875621890548,0.528537649313058,0.4714623506869421,,,,0.0,19.2,4.726778984069824,0.0,0.9
2025-11-04,betrivers,Scottie Barnes,TOR,MIL,AST,,EXPECTED,-103,,0.5073891625615764,,,,,,,0.0,26.0,5.651505947113037,0.0,0.9
2025-11-04,betrivers,Scottie Barnes,TOR,MIL,REB,,EXPECTED,-125,,0.5555555555555556,,,,,,,0.0,26.0,8.169001579284668,0.0,0.9
2025-11-04,betrivers,Shai Gilgeous-Alexander,OKC,@LAC,AST,,EXPECTED,-125,,0.5555555555555556,,,,,,,0.0,31.6,6.456924915313721,0.0,0.9
2025-11-04,betrivers,Shai Gilgeous-Alexander,OKC,@LAC,REB,,EXPECTED,-112,,0.5283018867924528,,,,,,,0.0,31.6,5.135387420654297,0.0,0.9
2025-11-04,caesars,Stephen Curry,GSW,PHX,AST,,EXPECTED,100,-136.0,0.5,0.576271186440678,0.4645669291338583,0.5354330708661418,,,,0.0,31.0,6.370474815368652,0.0,0.9
2025-11-04,caesars,Stephen Curry,GSW,PHX,REB,,EXPECTED,-129,-105.0,0.5633187772925764,0.5121951219512195,0.523767082590612,0.47623291740938806,,,,0.0,31.0,4.4276814460754395,0.0,0.9
2025-11-04,mgm,Taurean Prince,MIL,@TOR,AST,,EXPECTED,100,-135.0,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,,,,0.0,29.0,1.6701706647872925,0.0,0.9
2025-11-04,mgm,Taurean Prince,MIL,@TOR,REB,,EXPECTED,100,-135.0,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,,,,0.0,29.0,2.9224050045013428,0.0,0.9
2025-11-04,betrivers,Tre Jones,CHI,PHI,AST,,EXPECTED,100,,0.5,,,,,,,0.0,33.8,5.672064304351807,0.0,0.9
2025-11-04,betrivers,Tre Jones,CHI,PHI,REB,,EXPECTED,-107,,0.5169082125603864,,,,,,,0.0,33.8,4.100162506103516,0.0,0.9
2025-11-04,caesars,Tre Mann,CHA,@NOP,AST,,EXPECTED,-113,-120.0,0.5305164319248826,0.5454545454545454,0.49305831019436736,0.5069416898056327,,,,0.0,22.2,3.2878191471099854,2.5298221281347035,0.9
2025-11-04,caesars,Tre Mann,CHA,@NOP,REB,,EXPECTED,-110,-122.0,0.5238095238095238,0.5495495495495496,0.48800959232613905,0.511990407673861,,,,0.0,22.2,2.6386282444000244,0.4216370213557839,0.9
2025-11-04,mgm,Tristan da Silva,ORL,@ATL,AST,,EXPECTED,-110,-120.0,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,,,,0.0,13.6,1.0916149616241455,0.0,0.9
2025-11-04,mgm,Tristan da Silva,ORL,@ATL,REB,,EXPECTED,-110,-120.0,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,,,,0.0,13.6,1.990527868270874,0.0,0.9
2025-11-04,betrivers,Tyrese Maxey,PHI,@CHI,AST,,EXPECTED,-125,,0.5555555555555556,,,,,,,0.0,38.0,6.002535820007324,0.0,0.9
2025-11-04,betrivers,Tyrese Maxey,PHI,@CHI,REB,,EXPECTED,-107,,0.5169082125603864,,,,,,,0.0,38.0,3.2469277381896973,0.0,0.9
2025-11-04,mgm,Yves Missi,NOP,CHA,AST,,EXPECTED,-140,105.0,0.5833333333333334,0.4878048780487805,0.5445920303605313,0.4554079696394686,,,,0.0,27.4,1.3612749576568604,0.0,0.9
2025-11-04,caesars,Yves Missi,NOP,CHA,REB,,EXPECTED,-121,-112.0,0.5475113122171946,0.5283018867924528,0.5089278628680263,0.49107213713197356,,,,0.0,27.4,8.48836898803711,0.0,0.9
2025-11-04,mgm,Zaccharie Risacher,ATL,ORL,AST,,EXPECTED,100,-135.0,0.5,0.574468085106383,0.4653465346534653,0.5346534653465347,,,,0.0,25.0,1.4495658874511719,0.0,0.9
2025-11-04,betrivers,Zaccharie Risacher,ATL,ORL,REB,,EXPECTED,-122,,0.5495495495495496,,,,,,,0.0,25.0,2.830843210220337,0.0,0.9
2025-11-04,betrivers,Zion Williamson,NOP,CHA,AST,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,29.8,5.607992172241211,0.0,0.9
2025-11-04,betrivers,Zion Williamson,NOP,CHA,REB,,EXPECTED,-115,-115.0,0.5348837209302325,0.5348837209302325,0.5,0.5,,,,0.0,29.8,6.907972812652588,0.0,0.9
