game_date,book,player,team,opponent,market,line,over_odds,under_odds,p_over_imp,p_under_imp,p_over_fair,p_under_fair,p_over_model,edge_over,EV_over_1u,kelly_frac_over,projected_minutes,projection_mean,projection_sd,start_prob
2025-11-26,draftkings,Davion Mitchell,MIA,MIL,AST,5.5,-122,-108,0.5495495495495496,0.5192307692307693,0.5141838223374939,0.48581617766250607,0.43362790673912,-0.08055591559837394,-0.21093938281897834,0.0,29.0,5.160050302743912,2.033858749876334,0.7
2025-11-26,mgm,Davion Mitchell,MIA,MIL,PTS,8.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.47305439137470773,-0.0168241511354138,-0.09689616192101252,0.0,29.0,8.123332649469376,5.572491749121251,0.7
2025-11-26,mgm,Davion Mitchell,MIA,MIL,REB,2.5,120,-155,0.45454545454545453,0.6078431372549019,0.4278523489932886,0.5721476510067114,0.565266032296589,0.1374136833033004,0.24358527105249583,0.20298772587707997,29.0,2.933463394641876,2.6376918335897495,0.7
2025-11-26,mgm,De'Aaron Fox,SAS,@POR,AST,6.5,-135,105,0.574468085106383,0.4878048780487805,0.5407914020517831,0.4592085979482169,0.3630017730644528,-0.1777896289873303,-0.3681080246655822,0.0,33.84,5.6878660976886755,2.317425428063127,0.7
2025-11-26,fanduel,De'Aaron Fox,SAS,@POR,PTS,24.5,-102,-130,0.504950495049505,0.5652173913043478,0.4718423169750604,0.5281576830249397,0.34780290905692746,-0.12403940791813295,-0.3112138467696143,0.0,33.84,21.797282266616822,6.9077462492087935,0.7
2025-11-26,draftkings,De'Aaron Fox,SAS,@POR,REB,3.5,-132,100,0.5689655172413793,0.5,0.532258064516129,0.4677419354838709,0.5573386825558302,0.025080618039701186,-0.020435042780662105,0.0,33.84,3.9437678021192553,3.076908705410633,0.7
2025-11-26,fanduel,DeMar DeRozan,SAC,PHX,AST,3.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.558932715184908,0.06905417267478642,0.0670533653530061,0.07375870188830672,30.8,3.807648479938507,2.075007148273075,0.7
2025-11-26,mgm,DeMar DeRozan,SAC,PHX,PTS,18.5,-105,-125,0.5121951219512195,0.5555555555555556,0.4796954314720812,0.5203045685279188,0.3420929408842277,-0.1376024905878535,-0.3321042582736507,0.0,30.8,15.985410928726196,6.18203032278475,0.7
2025-11-26,draftkings,DeMar DeRozan,SAC,PHX,REB,3.5,-108,-122,0.5192307692307693,0.5495495495495496,0.48581617766250607,0.5141838223374939,0.6044445564967689,0.1186283788342628,0.1641154421419252,0.17724467751327933,30.8,4.248218935728073,2.8248711422968054,0.7
2025-11-26,betrivers,Deni Avdija,POR,SAS,AST,6.5,-141,107,0.5850622406639004,0.4830917874396135,0.5477320922551466,0.4522679077448533,0.39485588392175197,-0.15287620833339466,-0.32510448209118986,0.0,34.0,5.877677112817764,2.333551120348483,0.7
2025-11-26,mgm,Deni Avdija,POR,SAS,PTS,26.5,-110,-120,0.5238095238095238,0.5454545454545454,0.48987854251012153,0.5101214574898786,0.35291320404360293,-0.1369653384665186,-0.3262566104622126,0.0,34.0,23.84541881084442,7.032613513556332,0.7
2025-11-26,fanduel,Deni Avdija,POR,SAS,REB,6.5,-132,100,0.5689655172413793,0.5,0.532258064516129,0.4677419354838709,0.43529391278799,-0.09696415172813899,-0.23493797146353274,0.0,34.0,5.988382399082184,3.1404562730483567,0.7
2025-11-26,fanduel,Dennis Schroder,SAC,PHX,AST,4.5,-106,-125,0.5145631067961165,0.5555555555555556,0.4808467741935484,0.5191532258064516,0.47473172015964193,-0.006115054033906442,-0.07740816648220528,0.0,27.6,4.3783343732357025,1.919603778418699,0.7
