Player,Pos,Team,CR,Base_Projection,Enhanced_Projection,Value_Ratio,Is_Starter,Is_Injured,Usage_Boost,DvP_Boost,Injury_Penalty,FPT_roll_mean,MIN_roll_mean,Usage_Raw,Allow_FPT
Y. Dos Santos,G,,5.1,17.01,16.6,3.254,0,0,-0.59,0.17,0.0,16.9,85.0,0.94,13.825
D. Davidovac,F,,4.5,39.04,15.28,3.396,0,1,-3.54,-0.69,19.52,39.2,130.0,0.62,11.426
T. Biberovic,F,,5.9,15.08,15.22,2.58,1,0,0.41,-0.27,0.0,15.1,169.0,1.29,11.426
A. Zagars,G,,6.3,17.03,15.0,2.381,0,0,-2.21,0.17,0.0,17.3,36.0,0.4,13.825
J. Marcos,G,,4.3,16.36,14.87,3.457,0,0,-1.66,0.17,0.0,16.3,80.0,0.56,13.825
J. Dibartolomeo,G,,5.6,17.05,14.56,2.601,0,0,-2.66,0.17,0.0,17.0,55.0,0.25,13.825
M. Ajinca,F,,4.0,14.32,14.48,3.619,0,0,0.41,-0.25,0.0,14.5,140.0,1.3,11.426
S. Lee,G,,6.7,14.98,14.01,2.091,0,0,-1.12,0.15,0.0,14.8,86.0,0.71,13.825
K. Birch,C,,5.3,15.14,13.48,2.543,0,0,-1.85,0.19,0.0,15.2,119.0,0.44,14.053
B. Ellis,G,,9.3,15.02,13.12,1.411,0,0,-2.05,0.15,0.0,15.0,27.0,0.36,13.825
I. Brazdeikis,F,,5.7,15.04,13.04,2.287,1,0,-1.74,-0.27,0.0,15.0,64.0,0.48,11.426
N. Sestina,F,,4.3,13.99,12.35,2.873,0,0,-1.39,-0.25,0.0,13.4,71.0,0.57,11.426
I. Bako,C,,6.3,13.99,12.28,1.95,0,0,-1.89,0.18,0.0,13.3,50.0,0.37,14.053
S. Harrison,F,,6.0,14.12,11.91,1.986,1,0,-1.95,-0.25,0.0,14.0,38.0,0.35,11.426
K. Mikalauskas,G,,4.0,14.18,11.84,2.96,0,0,-2.49,0.14,0.0,14.3,10.0,0.14,13.825
A. Samodurov,F,,4.0,14.17,11.41,2.853,0,0,-2.51,-0.25,0.0,14.3,18.0,0.13,11.426
G. Papagiannis,C,,7.0,27.91,10.35,1.479,0,1,-3.96,0.36,13.96,27.9,74.0,0.33,14.053
J. Ayayi,G,,6.5,10.74,9.32,1.434,0,0,-1.52,0.11,0.0,11.2,70.0,0.33,13.825
M. Rubstavicius,G,,5.4,10.79,9.2,1.703,0,0,-1.7,0.11,0.0,11.4,30.0,0.24,13.825
M. Howard,G,,7.2,9.47,8.9,1.237,0,0,-0.66,0.1,0.0,9.0,77.0,0.74,13.825
O. Dobric,F,,5.9,10.07,8.63,1.462,0,0,-1.27,-0.18,0.0,10.1,44.0,0.42,11.426
D. Kramer,G,,5.6,9.57,8.58,1.532,0,0,-1.09,0.1,0.0,9.4,98.0,0.49,13.825
O. Bitim,F,,5.0,9.73,8.31,1.662,0,0,-1.24,-0.17,0.0,9.6,75.0,0.41,11.426
P. Kalaitzakis,F,,4.0,10.16,8.25,2.064,0,0,-1.73,-0.18,0.0,10.1,25.0,0.17,11.426
A. Atamna,G,,4.0,7.0,6.23,1.556,0,0,-0.85,0.07,0.0,7.3,72.0,0.45,13.825
M. Ngouama,G,,4.0,6.49,6.2,1.551,0,0,-0.35,0.07,0.0,6.5,75.0,0.83,13.825
S. Mckissic,G,,6.0,17.03,6.03,1.005,0,1,-2.66,0.17,8.52,17.2,31.0,0.25,13.825
Y. Fall,C,,6.2,6.66,5.54,0.894,0,0,-1.2,0.08,0.0,7.0,9.0,0.11,14.053
T. Odiase,C,,6.5,6.55,5.49,0.844,0,0,-1.15,0.08,0.0,6.7,25.0,0.14,14.053
S. Miljenovic,G,,4.0,15.39,5.48,1.37,0,1,-2.37,0.16,7.7,15.7,42.0,0.26,13.825
K. Kamenjas,C,,6.6,6.39,5.34,0.809,0,0,-1.13,0.08,0.0,6.3,35.0,0.13,14.053
B. Boston Jr.,G,,9.6,6.43,5.32,0.555,0,0,-1.17,0.07,0.0,6.6,13.0,0.1,13.825
O. Diop,F,,4.0,6.38,5.06,1.264,0,0,-1.21,-0.11,0.0,6.5,13.0,0.06,11.426
E. Yilmaz,F,,4.0,6.03,4.85,1.212,0,0,-1.08,-0.11,0.0,5.7,17.0,0.12,11.426
E. Shahrvin,C,,4.0,5.6,4.65,1.162,0,0,-1.02,0.07,0.0,5.5,15.0,0.1,14.053
D. Mccormack,C,,6.7,10.22,4.0,0.598,0,1,-1.23,0.13,5.11,10.4,62.0,0.45,14.053
T. Ennis,G,,8.2,4.58,3.9,0.476,0,0,-0.72,0.05,0.0,4.8,20.0,0.24,13.825
B. Taylor,G,,6.7,9.81,3.89,0.581,0,1,-1.12,0.1,4.91,9.8,57.0,0.49,13.825
T. Tarpey,G,,4.0,4.52,3.73,0.932,0,0,-0.84,0.05,0.0,4.7,37.0,0.08,13.825
K. Antetokounmpo,C,,4.1,4.3,3.58,0.872,0,0,-0.78,0.05,0.0,4.1,16.0,0.11,14.053
M. Mahmutoglu,G,,4.0,4.31,3.57,0.894,0,0,-0.78,0.04,0.0,4.2,16.0,0.11,13.825
F. Ntilikina,G,,7.0,6.96,3.26,0.466,0,1,-0.29,0.07,3.48,7.5,105.0,0.9,13.825
X. Lopez-arostegui,G,,6.9,3.39,2.82,0.409,0,0,-0.6,0.03,0.0,3.4,28.0,0.13,13.825
S. Dinwiddie,G,,10.3,3.31,2.82,0.274,1,0,-0.53,0.03,0.0,3.3,20.0,0.23,13.825
U. Plavsic,C,,5.7,3.25,2.68,0.471,0,0,-0.61,0.04,0.0,3.3,10.0,0.07,14.053
S. Joksimovic,F,,4.0,3.25,2.62,0.656,0,0,-0.57,-0.06,0.0,3.1,20.0,0.14,11.426
S. Sanli,C,,4.3,3.18,2.62,0.609,0,0,-0.6,0.04,0.0,3.0,10.0,0.06,14.053
G. Procida,F,,6.2,3.23,2.56,0.412,0,0,-0.62,-0.06,0.0,3.3,8.0,0.05,11.426
S. Keita,C,,4.0,2.25,1.89,0.472,0,0,-0.39,0.03,0.0,2.4,31.0,0.15,14.053
I. Nogues,G,,4.0,2.2,1.79,0.448,0,0,-0.42,0.02,0.0,2.4,17.0,0.04,13.825
A. Lakic,G,,4.0,2.09,1.76,0.439,0,0,-0.36,0.02,0.0,2.0,46.0,0.17,13.825
B. Dessert,C,,6.6,2.1,1.74,0.263,0,0,-0.39,0.03,0.0,2.0,6.0,0.08,14.053
C. Omoruyi,C,,7.8,2.04,1.66,0.213,0,0,-0.41,0.03,0.0,2.0,5.0,0.0,14.053
M. Muurinen,F,,5.0,1.2,0.95,0.189,0,0,-0.23,-0.02,0.0,1.2,8.0,0.04,11.426
G. Lavi,F,,5.6,1.13,0.89,0.158,0,0,-0.22,-0.02,0.0,1.0,8.0,0.02,11.426
R. Beaubois,G,,5.9,1.29,0.42,0.071,0,1,-0.24,0.01,0.65,1.1,15.0,0.08,13.825
V. Toliopoulos,G,,5.9,1.21,0.38,0.064,0,1,-0.24,0.01,0.61,1.1,4.0,0.0,13.825
N. Dangubic,F,,4.0,0.08,0.06,0.015,0,0,-0.01,-0.0,0.0,0.2,22.0,0.08,11.426
W. Rayman,F,,4.6,0.01,0.01,0.001,0,0,-0.0,-0.0,0.0,0.1,46.0,0.11,11.426
G. Grinvalds,F,,4.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,0.0,1.0,0.0,11.426
V. Hrabar,F,,4.0,0.0,0.0,0.0,0,0,-0.0,-0.0,0.0,0.0,1.0,0.0,11.426
M. Bosnjakovic,G,,4.0,0.0,0.0,0.0,0,1,-0.0,0.0,0.0,0.0,3.0,0.0,13.825
N. Akele,F,,4.0,-0.72,0.0,0.0,0,0,0.14,0.01,-0.0,-0.9,2.0,0.0,11.426
J. Rivero,C,,8.5,-0.85,0.0,0.0,0,0,0.17,-0.01,-0.0,-1.0,9.0,0.02,14.053
O. Radosic,G,,4.0,-0.01,0.0,0.0,0,0,0.0,-0.0,-0.0,0.0,1.0,0.0,13.825
N. Calathes,G,,5.3,-3.83,0.0,0.0,0,0,0.72,-0.04,-0.0,-4.0,7.0,0.07,13.825
T. Armstrong,G,,7.6,-0.73,0.0,0.0,0,0,0.14,-0.01,-0.0,-0.7,21.0,0.04,13.825
S. Tonut,G,,4.8,-0.05,0.0,0.0,0,0,0.01,-0.0,-0.0,0.0,2.0,0.0,13.825
I. Almansa,F,,5.2,-2.17,0.0,0.0,0,0,0.42,0.04,-0.0,-1.9,9.0,0.04,11.426
J. Butler,G,,9.3,-4.35,0.0,0.0,0,0,0.85,-0.04,-0.0,-4.5,2.0,0.03,13.825
R. Villar,G,,4.0,-3.16,0.0,0.0,0,0,0.62,-0.03,-0.0,-2.8,25.0,0.03,13.825
I. Kouzeloglou,C,,4.0,-0.02,0.0,0.0,0,0,0.0,-0.0,-0.0,0.0,2.0,0.01,14.053
A. Abass,F,,5.6,-3.49,0.0,0.0,0,0,0.52,0.06,-0.0,-3.4,94.0,0.29,11.426
S. Hazer,G,,4.0,-3.59,0.0,0.0,0,0,0.55,-0.04,-0.0,-3.6,35.0,0.26,13.825
G. Larentzakis,G,,4.0,-3.54,0.0,0.0,0,1,0.68,-0.04,-1.77,-3.6,9.0,0.05,13.825
M. Grigonis,G,,5.3,-4.68,0.0,0.0,0,0,0.86,-0.05,-0.0,-6.5,24.0,0.09,13.825
L. Kratzer,C,,4.0,-4.66,0.0,0.0,0,0,0.85,-0.06,-0.0,-5.4,45.0,0.1,14.053
J. Hollatz,G,,4.3,-3.76,0.0,0.0,1,0,0.58,-0.04,-0.0,-3.8,55.0,0.26,13.825
G. Palatin,G,,4.0,-0.01,0.0,0.0,0,0,0.0,-0.0,-0.0,0.0,1.0,0.0,13.825
O. Netzipoglou,G,,4.0,-3.05,0.0,0.0,0,0,0.6,-0.03,-0.0,-2.7,8.0,0.01,13.825
A. Pokusevski,F,,5.7,-4.7,0.0,0.0,1,0,0.74,0.08,-0.0,-5.4,35.0,0.24,11.426
